AÑO;MES;PROVINCIA_DESTINO;CONTINENTE_ORIGEN;PAIS_ORIGEN;TURISTAS;PERNOCTACIONES;ESTANCIA_MEDIA
2022;5;Málaga;Total;Total Europa;482266,0;3539721,0;7,3
2022;5;Málaga;Total;Total Oceanía;344,0;2523,0;7,3
2022;5;Málaga;Total;Total Sudamérica;3555,0;35514,0;10,0
2022;5;Málaga;Total;Total África;12271,0;63893,0;5,2
2022;5;Málaga;África;Argelia;125,0;613,0;4,9
2022;5;Málaga;África;Egipto;127,0;711,0;5,6
2022;5;Málaga;África;Ghana;35,0;179,0;5,1
2022;5;Málaga;África;Kenia;61,0;494,0;8,1
2022;5;Málaga;África;Marruecos;11293,0;57594,0;5,1
2022;5;Málaga;África;Mauricio;31,0;143,0;4,6
2022;5;Málaga;África;Nigeria;141,0;1043,0;7,4
2022;5;Málaga;África;Senegal;166,0;1228,0;7,4
2022;5;Málaga;África;Sudáfrica;119,0;833,0;7,0
2022;5;Málaga;África;Túnez;70,0;378,0;5,4
2022;6;Málaga;América;Argentina;1517,0;18356,0;12,1
2022;6;Málaga;América;Brasil;598,0;4904,0;8,2
2022;6;Málaga;América;Canadá;2769,0;18275,0;6,6
2022;6;Málaga;América;Chile;258,0;1832,0;7,1
2022;6;Málaga;América;Colombia;867,0;8237,0;9,5
2022;6;Málaga;América;Ecuador;54,0;475,0;8,8
2022;6;Málaga;América;Estados Unidos de América;13711,0;94606,0;6,9
2022;6;Málaga;América;México;783,0;4463,0;5,7
2022;6;Málaga;América;Nicaragua;52,0;499,0;9,6
2022;6;Málaga;América;Panamá;54,0;529,0;9,8
2022;6;Málaga;América;Paraguay;184,0;1380,0;7,5
2022;6;Málaga;América;Perú;142,0;1292,0;9,1
2022;6;Málaga;América;Uruguay;105,0;924,0;8,8
2022;6;Málaga;América;Venezuela;100,0;1210,0;12,1
2022;6;Málaga;Asia;Arabia Saudí;447,0;2950,0;6,6
2022;6;Málaga;Asia;Bahréin;60,0;342,0;5,7
2022;6;Málaga;Asia;China;642,0;4173,0;6,5
2022;6;Málaga;Asia;Corea;179,0;895,0;5,0
2022;6;Málaga;Asia;Emiratos Árabes Unidos;670,0;4623,0;6,9
2022;6;Málaga;Asia;Filipinas;476,0;2237,0;4,7
2022;6;Málaga;Asia;India;566,0;3679,0;6,5
2022;6;Málaga;Asia;Indonesia;124,0;1004,0;8,1
2022;6;Málaga;Asia;Irán;186,0;1600,0;8,6
2022;6;Málaga;Asia;Israel;336,0;2386,0;7,1
2022;6;Málaga;Asia;Japón;171,0;1522,0;8,9
2022;6;Málaga;Asia;Jordania;36,0;248,0;6,9
2022;6;Málaga;Asia;Kazajstán;81,0;583,0;7,2
2022;6;Málaga;Asia;Kuwait;365,0;2519,0;6,9
2022;6;Málaga;Asia;Líbano;67,0;496,0;7,4
2022;6;Málaga;Asia;Malasia;66,0;370,0;5,6
2022;6;Málaga;Asia;Omán;35,0;186,0;5,3
2022;6;Málaga;Asia;Pakistán;49,0;333,0;6,8
2022;6;Málaga;Asia;Qatar;239,0;1601,0;6,7
